snapshot_date,forward_month,contract_label,vlcc_td3c,vlcc_eco_td3c,suezmax_td20,aframax_td25,lr1_tc5,lr1_eco_tc5,mr_tc2,mr_eco_tc2,mr_tc14,mr_eco_tc14,mr_tc6,mr_triangulation
2026-08-12,2026-08-01,1-Aug-26,450210.0,406694.0,92625.0,83011.0,60536.0,55264.0,7312.0,6833.0,28934.0,25116.0,28565.0,38576.0
2026-08-12,2026-09-01,1-Sep-26,387764.0,350568.0,99008.0,70506.0,62838.0,57233.0,8270.0,7688.0,29882.0,25922.0,28645.0,39772.0
2026-08-12,2026-10-01,1-Oct-26,302082.0,273725.0,93640.0,64692.0,59681.0,54358.0,10328.0,9532.0,29391.0,25491.0,38932.0,40309.0
2026-08-12,2026-11-01,1-Nov-26,292572.0,265105.0,91376.0,62231.0,59153.0,53849.0,11412.0,10498.0,29757.0,25798.0,40758.0,40829.0
2026-08-12,2026-12-01,1-Dec-26,274453.0,248836.0,88963.0,59626.0,59480.0,54123.0,12693.0,11645.0,30524.0,26452.0,42508.0,41838.0
2026-08-12,2027-01-01,1-Jan-27,192348.0,175331.0,74744.0,51410.0,52211.0,47626.0,10714.0,9859.0,25346.0,21998.0,45304.0,35962.0
2026-08-12,2027-02-01,1-Feb-27,179001.0,163356.0,66901.0,50388.0,48993.0,44746.0,9759.0,8997.0,23432.0,20350.0,44531.0,33522.0
2026-08-12,2027-03-01,1-Mar-27,165599.0,151340.0,59076.0,49387.0,45745.0,41841.0,8857.0,8180.0,21530.0,18713.0,43776.0,31077.0
2026-08-12,2027-04-01,1-Apr-27,141645.0,129890.0,50266.0,45023.0,41526.0,38074.0,8929.0,8241.0,19263.0,16761.0,40273.0,28949.0
2026-08-12,2027-05-01,1-May-27,129752.0,119227.0,45925.0,42924.0,39471.0,36234.0,9043.0,8341.0,18187.0,15834.0,38550.0,27925.0
2026-08-12,2027-06-01,1-Jun-27,117831.0,108536.0,41565.0,40789.0,37423.0,34399.0,9126.0,8414.0,17091.0,14891.0,36812.0,26902.0
2026-08-12,2027-07-01,1-Jul-27,96901.0,89786.0,41899.0,38934.0,34827.0,32077.0,7402.0,6860.0,16725.0,14574.0,32012.0,25453.0
2026-08-12,2027-08-01,1-Aug-27,86525.0,80476.0,42117.0,38068.0,33574.0,30951.0,6593.0,6130.0,16589.0,14456.0,29621.0,24776.0
2026-08-12,2027-09-01,1-Sep-27,76156.0,71174.0,42328.0,37194.0,32320.0,29825.0,5775.0,5392.0,16447.0,14332.0,27225.0,24098.0
2026-08-12,2027-10-01,1-Oct-27,90383.0,83877.0,47872.0,42787.0,36390.0,33445.0,8306.0,7669.0,17845.0,15532.0,32009.0,26727.0
2026-08-12,2027-11-01,1-Nov-27,97533.0,90256.0,50742.0,45650.0,38449.0,35275.0,9637.0,8865.0,18600.0,16179.0,34442.0,28074.0
2026-08-12,2027-12-01,1-Dec-27,104644.0,96607.0,53557.0,48492.0,40480.0,37082.0,10937.0,10033.0,19336.0,16810.0,36864.0,29420.0
2026-08-19,2026-08-01,1-Aug-26,450210.0,406694.0,92625.0,83011.0,60536.0,55264.0,7312.0,6833.0,28934.0,25116.0,28565.0,38576.0
2026-08-19,2026-09-01,1-Sep-26,387764.0,350568.0,99008.0,70506.0,62838.0,57233.0,8270.0,7688.0,29882.0,25922.0,28645.0,39772.0
2026-08-19,2026-10-01,1-Oct-26,302082.0,273725.0,93640.0,64692.0,59681.0,54358.0,10328.0,9532.0,29391.0,25491.0,38932.0,40309.0
2026-08-19,2026-11-01,1-Nov-26,292572.0,265105.0,91376.0,62231.0,59153.0,53849.0,11412.0,10498.0,29757.0,25798.0,40758.0,40829.0
2026-08-19,2026-12-01,1-Dec-26,274453.0,248836.0,88963.0,59626.0,59480.0,54123.0,12693.0,11645.0,30524.0,26452.0,42508.0,41838.0
2026-08-19,2027-01-01,1-Jan-27,192348.0,175331.0,74744.0,51410.0,52211.0,47626.0,10714.0,9859.0,25346.0,21998.0,45304.0,35962.0
2026-08-19,2027-02-01,1-Feb-27,179001.0,163356.0,66901.0,50388.0,48993.0,44746.0,9759.0,8997.0,23432.0,20350.0,44531.0,33522.0
2026-08-19,2027-03-01,1-Mar-27,165599.0,151340.0,59076.0,49387.0,45745.0,41841.0,8857.0,8180.0,21530.0,18713.0,43776.0,31077.0
2026-08-19,2027-04-01,1-Apr-27,141645.0,129890.0,50266.0,45023.0,41526.0,38074.0,8929.0,8241.0,19263.0,16761.0,40273.0,28949.0
2026-08-19,2027-05-01,1-May-27,129752.0,119227.0,45925.0,42924.0,39471.0,36234.0,9043.0,8341.0,18187.0,15834.0,38550.0,27925.0
2026-08-19,2027-06-01,1-Jun-27,117831.0,108536.0,41565.0,40789.0,37423.0,34399.0,9126.0,8414.0,17091.0,14891.0,36812.0,26902.0
2026-08-19,2027-07-01,1-Jul-27,96901.0,89786.0,41899.0,38934.0,34827.0,32077.0,7402.0,6860.0,16725.0,14574.0,32012.0,25453.0
2026-08-19,2027-08-01,1-Aug-27,86525.0,80476.0,42117.0,38068.0,33574.0,30951.0,6593.0,6130.0,16589.0,14456.0,29621.0,24776.0
