date,segment,tenor,settle,open,high,low,last,first_ts,last_ts,reads,settle_changes
2026-09-14,cape,Cal 27,33050,33750,33750,33050,33050,2026-09-14T07:44:42Z,2026-09-14T18:31:24Z,149,1
2026-09-14,cape,Oct,46375,47875,48000,46375,46375,2026-09-14T07:44:42Z,2026-09-14T18:31:24Z,149,1
2026-09-14,cape,Q1,30275,31000,31000,30275,30275,2026-09-14T07:44:42Z,2026-09-14T18:31:24Z,149,1
2026-09-14,cape,Q4,44416.7,45291.7,45333.3,44416.7,44416.7,2026-09-14T07:44:42Z,2026-09-14T18:31:24Z,149,15
2026-09-14,cape,Sep,49275,50875,51000,49275,49275,2026-09-14T07:44:42Z,2026-09-14T18:31:24Z,149,1
2026-09-14,handysize,Cal 27,14325,14375,14375,14325,14325,2026-09-14T07:44:42Z,2026-09-14T18:31:24Z,149,1
2026-09-14,handysize,Oct,18450,18900,18900,18450,18450,2026-09-14T07:44:42Z,2026-09-14T18:31:24Z,149,1
2026-09-14,handysize,Q1,13800,13950,13950,13800,13800,2026-09-14T07:44:42Z,2026-09-14T18:31:24Z,149,1
2026-09-14,handysize,Q4,18058.3,18333.3,18333.3,18058.3,18058.3,2026-09-14T07:44:42Z,2026-09-14T18:31:24Z,149,15
2026-09-14,handysize,Sep,16800,16850,16850,16800,16800,2026-09-14T07:44:42Z,2026-09-14T18:31:24Z,149,1
2026-09-14,panamax,Cal 27,18100,18500,18500,18100,18100,2026-09-14T07:44:42Z,2026-09-14T18:31:24Z,149,1
2026-09-14,panamax,Oct,22300,23400,23400,22300,22300,2026-09-14T07:44:42Z,2026-09-14T18:31:24Z,149,1
2026-09-14,panamax,Q1,17950,18400,18400,17950,17950,2026-09-14T07:44:42Z,2026-09-14T18:31:24Z,149,1
2026-09-14,panamax,Q4,22000,22766.7,22766.7,22000,22000,2026-09-14T07:44:42Z,2026-09-14T18:31:24Z,149,1
2026-09-14,panamax,Sep,21625,22000,22000,21625,21625,2026-09-14T07:44:42Z,2026-09-14T18:31:24Z,149,1
2026-09-14,supramax,Cal 27,16300,16375,16375,16300,16300,2026-09-14T07:44:42Z,2026-09-14T18:31:24Z,149,1
2026-09-14,supramax,Oct,20750,21350,21350,20750,20750,2026-09-14T07:44:42Z,2026-09-14T18:31:24Z,149,1
2026-09-14,supramax,Q1,16100,16325,16325,16100,16100,2026-09-14T07:44:42Z,2026-09-14T18:31:24Z,149,1
2026-09-14,supramax,Q4,20475,20950,20950,20475,20475,2026-09-14T07:44:42Z,2026-09-14T18:31:24Z,149,1
2026-09-14,supramax,Sep,19700,19800,19800,19700,19700,2026-09-14T07:44:42Z,2026-09-14T18:31:24Z,149,1
2026-09-15,cape,Cal 27,33175,33050,33175,32500,33175,2026-09-15T04:46:18Z,2026-09-15T18:30:14Z,385,2
2026-09-15,cape,Oct,46950,46425,47125,45250,46950,2026-09-15T04:46:18Z,2026-09-15T18:30:14Z,385,8
2026-09-15,cape,Q1,30600,30275,30600,29775,30600,2026-09-15T04:46:18Z,2026-09-15T18:30:14Z,385,4
2026-09-15,cape,Q4,44883.3,44450,45016.7,43541.7,44883.3,2026-09-15T04:46:18Z,2026-09-15T18:30:14Z,385,64
2026-09-15,cape,Sep,49250,49200,49375,48500,49250,2026-09-15T04:46:18Z,2026-09-15T18:30:14Z,385,7
2026-09-15,handysize,Cal 27,14375,14325,14375,14300,14375,2026-09-15T04:46:18Z,2026-09-15T18:30:14Z,385,2
2026-09-15,handysize,Oct,18600,18450,18600,18450,18600,2026-09-15T04:46:18Z,2026-09-15T18:30:14Z,385,1
2026-09-15,handysize,Q1,13950,13800,13950,13800,13950,2026-09-15T04:46:18Z,2026-09-15T18:30:14Z,385,2
2026-09-15,handysize,Q4,18233.3,18058.3,18233.3,18058.3,18233.3,2026-09-15T04:46:18Z,2026-09-15T18:30:14Z,385,40
2026-09-15,handysize,Sep,16950,16800,16950,16800,16950,2026-09-15T04:46:18Z,2026-09-15T18:30:14Z,385,2
2026-09-15,panamax,Cal 27,18125,18100,18150,17887.5,18125,2026-09-15T04:46:18Z,2026-09-15T18:30:14Z,385,4
2026-09-15,panamax,Oct,22650,22350,22650,21700,22650,2026-09-15T04:46:18Z,2026-09-15T18:30:14Z,385,6
2026-09-15,panamax,Q1,18000,17950,18025,17575,18000,2026-09-15T04:46:18Z,2026-09-15T18:30:14Z,385,3
2026-09-15,panamax,Q4,22225,22000,22225,21466.7,22225,2026-09-15T04:46:18Z,2026-09-15T18:30:14Z,385,24
