date,port,total_throughput_mt,iron_ore_exports_mt,destinations_t,mom_pct,yoy_pct,provenance
2015-08-01,Port Hedland,39.176,39.176,"{""Australia"": 133664.0, ""China"": 33945279.0, ""Hong Kong"": 194009.0, ""Indonesia"": 378708.0, ""Japan"": 1741537.0, ""Korea, Republic of"": 2327184.0, ""Taiwan, Province of China"": 455252.0}",,,live_ppa_pdf
2015-09-01,Port Hedland,39.409,39.409,"{""Australia"": 275915.0, ""China"": 33782001.0, ""Hong Kong"": 173650.0, ""India"": 18989.0, ""Indonesia"": 175549.0, ""Japan"": 2099010.0, ""Korea, Republic of"": 2121670.0, ""Malaysia"": 11235.0, ""Taiwan, Province of China"": 780852.0}",0.59,,live_ppa_pdf
2015-10-01,Port Hedland,36.504,36.504,"{""Australia"": 275969.0, ""China"": 30716729.0, ""Indonesia"": 360642.0, ""Japan"": 2468174.0, ""Korea, Republic of"": 2217707.0, ""Taiwan, Province of China"": 464898.0}",-7.37,,live_ppa_pdf
2015-11-01,Port Hedland,37.51,37.51,"{""Australia"": 276473.0, ""China"": 31910272.0, ""Hong Kong"": 96024.0, ""Indonesia"": 172001.0, ""Japan"": 1535118.0, ""Korea, Republic of"": 2872729.0, ""Taiwan, Province of China"": 647530.0}",2.76,,live_ppa_pdf
2015-12-01,Port Hedland,37.547,37.547,"{""Australia"": 607188.0, ""China"": 32165895.0, ""Indonesia"": 172853.0, ""Japan"": 2045794.0, ""Korea, Republic of"": 1811649.0, ""Singapore"": 422039.0, ""Taiwan, Province of China"": 321623.0}",0.1,,live_ppa_pdf
2016-01-01,Port Hedland,33.78,33.78,"{""Australia"": 135844.0, ""China"": 28913213.0, ""Indonesia"": 192254.0, ""Japan"": 1852859.0, ""Korea, Republic of"": 2362250.0, ""Pakistan"": 7272.58, ""Taiwan, Province of China"": 323207.0}",-10.03,,live_ppa_pdf
2016-02-01,Port Hedland,36.635,36.635,"{""Australia"": 278350.0, ""China"": 27914033.0, ""China (2)"": 1230677.0, ""Hong Kong"": 177455.0, ""Indonesia"": 370085.0, ""Japan"": 2169988.0, ""Korea, Republic of"": 3139059.0, ""Singapore"": 564711.0, ""Taiwan, Province of China"": 790471.0}",8.45,,live_ppa_pdf
2016-03-01,Port Hedland,39.534,39.534,"{""Australia"": 417010.0, ""China"": 32987726.0, ""Hong Kong"": 109948.0, ""India"": 19761.0, ""Indonesia"": 170006.0, ""Japan"": 2572367.0, ""Korea, Republic of"": 2115799.0, ""Philippines"": 22075.0, ""Singapore"": 372872.0, ""Taiwan, Province of China"": 788753.0}",7.91,,live_ppa_pdf
2016-04-01,Port Hedland,37.686,37.686,"{""Australia"": 142616.0, ""China"": 32612175.0, ""India"": 148145.0, ""Indonesia"": 370635.0, ""Japan"": 857071.0, ""Korea, Republic of"": 2735830.0, ""Singapore"": 174619.0, ""Taiwan, Province of China"": 645126.0}",-4.67,,live_ppa_pdf
2016-05-01,Port Hedland,39.374,39.374,"{""Australia"": 275925.0, ""China"": 31660282.0, ""India"": 20054.0, ""Indonesia"": 364825.0, ""Japan"": 2586141.0, ""Korea, Republic of"": 3819124.0, ""Singapore"": 200625.0, ""Taiwan, Province of China"": 467269.0}",4.48,,live_ppa_pdf
2016-06-01,Port Hedland,41.808,41.808,"{""Australia"": 278211.0, ""China"": 34512867.0, ""Indonesia"": 349641.0, ""Japan"": 2396356.0, ""Korea, Republic of"": 3021905.0, ""Singapore"": 462082.0, ""Taiwan, Province of China"": 786819.0}",6.18,,live_ppa_pdf
