date,quarter,commodity,export_volume_mt,export_value_aud_b,primary_vessel_class,provenance
2024-03-31,2024 Q1,Iron Ore,218.4,28.5,Capesize (C5/C3),editorial_estimate_diagnostic
2024-03-31,2024 Q1,Metallurgical Coal,38.2,11.2,Panamax / Capesize,editorial_estimate_diagnostic
2024-03-31,2024 Q1,Thermal Coal,49.5,7.8,Panamax / Supramax,editorial_estimate_diagnostic
2024-03-31,2024 Q1,Bauxite,9.8,0.6,Capesize / Ultramax,editorial_estimate_diagnostic
2024-03-31,2024 Q1,LNG,20.4,16.5,LNG Carrier (174k),editorial_estimate_diagnostic
2024-06-30,2024 Q2,Iron Ore,228.6,29.4,Capesize (C5/C3),editorial_estimate_diagnostic
2024-06-30,2024 Q2,Metallurgical Coal,41.5,12.1,Panamax / Capesize,editorial_estimate_diagnostic
2024-06-30,2024 Q2,Thermal Coal,52.1,8.1,Panamax / Supramax,editorial_estimate_diagnostic
2024-06-30,2024 Q2,Bauxite,10.2,0.7,Capesize / Ultramax,editorial_estimate_diagnostic
2024-06-30,2024 Q2,LNG,20.8,17.1,LNG Carrier (174k),editorial_estimate_diagnostic
2024-09-30,2024 Q3,Iron Ore,225.1,27.9,Capesize (C5/C3),editorial_estimate_diagnostic
2024-09-30,2024 Q3,Metallurgical Coal,40.8,11.8,Panamax / Capesize,editorial_estimate_diagnostic
2024-09-30,2024 Q3,Thermal Coal,51.4,7.9,Panamax / Supramax,editorial_estimate_diagnostic
2024-09-30,2024 Q3,Bauxite,10.1,0.7,Capesize / Ultramax,editorial_estimate_diagnostic
2024-09-30,2024 Q3,LNG,20.6,16.8,LNG Carrier (174k),editorial_estimate_diagnostic
2024-12-31,2024 Q4,Iron Ore,236.8,30.5,Capesize (C5/C3),editorial_estimate_diagnostic
2024-12-31,2024 Q4,Metallurgical Coal,43.1,12.5,Panamax / Capesize,editorial_estimate_diagnostic
2024-12-31,2024 Q4,Thermal Coal,54.2,8.4,Panamax / Supramax,editorial_estimate_diagnostic
2024-12-31,2024 Q4,Bauxite,10.6,0.7,Capesize / Ultramax,editorial_estimate_diagnostic
2024-12-31,2024 Q4,LNG,21.2,17.5,LNG Carrier (174k),editorial_estimate_diagnostic
2025-03-31,2025 Q1,Iron Ore,222.5,28.9,Capesize (C5/C3),editorial_estimate_diagnostic
2025-03-31,2025 Q1,Metallurgical Coal,39.4,11.5,Panamax / Capesize,editorial_estimate_diagnostic
2025-03-31,2025 Q1,Thermal Coal,50.8,7.9,Panamax / Supramax,editorial_estimate_diagnostic
2025-03-31,2025 Q1,Bauxite,10.0,0.6,Capesize / Ultramax,editorial_estimate_diagnostic
2025-03-31,2025 Q1,LNG,20.7,16.9,LNG Carrier (174k),editorial_estimate_diagnostic
2025-06-30,2025 Q2,Iron Ore,233.0,29.8,Capesize (C5/C3),editorial_estimate_diagnostic
2025-06-30,2025 Q2,Metallurgical Coal,41.0,12.0,Panamax / Capesize,editorial_estimate_diagnostic
2025-06-30,2025 Q2,Thermal Coal,53.0,8.2,Panamax / Supramax,editorial_estimate_diagnostic
2025-06-30,2025 Q2,Bauxite,10.3,0.7,Capesize / Ultramax,editorial_estimate_diagnostic
2025-06-30,2025 Q2,LNG,20.9,17.2,LNG Carrier (174k),editorial_estimate_diagnostic
2025-09-30,2025 Q3,Iron Ore,230.5,29.2,Capesize (C5/C3),editorial_estimate_diagnostic
2025-09-30,2025 Q3,Metallurgical Coal,40.5,11.9,Panamax / Capesize,editorial_estimate_diagnostic
2025-09-30,2025 Q3,Thermal Coal,52.5,8.3,Panamax / Supramax,editorial_estimate_diagnostic
2025-09-30,2025 Q3,Bauxite,10.4,0.7,Capesize / Ultramax,editorial_estimate_diagnostic
2025-09-30,2025 Q3,LNG,20.9,17.0,LNG Carrier (174k),editorial_estimate_diagnostic
2025-12-31,2025 Q4,Iron Ore,241.5,31.2,Capesize (C5/C3),editorial_estimate_diagnostic
2025-12-31,2025 Q4,Metallurgical Coal,44.2,12.8,Panamax / Capesize,editorial_estimate_diagnostic
2025-12-31,2025 Q4,Thermal Coal,55.6,8.6,Panamax / Supramax,editorial_estimate_diagnostic
2025-12-31,2025 Q4,Bauxite,10.9,0.8,Capesize / Ultramax,editorial_estimate_diagnostic
2025-12-31,2025 Q4,LNG,21.5,17.8,LNG Carrier (174k),editorial_estimate_diagnostic
2026-03-31,2026 Q1,Iron Ore,226.8,29.5,Capesize (C5/C3),editorial_estimate_diagnostic
2026-03-31,2026 Q1,Metallurgical Coal,40.5,11.9,Panamax / Capesize,editorial_estimate_diagnostic
2026-03-31,2026 Q1,Thermal Coal,51.9,8.1,Panamax / Supramax,editorial_estimate_diagnostic
2026-03-31,2026 Q1,Bauxite,10.3,0.7,Capesize / Ultramax,editorial_estimate_diagnostic
2026-03-31,2026 Q1,LNG,21.0,17.2,LNG Carrier (174k),editorial_estimate_diagnostic
2026-06-30,2026 Q2,Iron Ore,238.2,30.9,Capesize (C5/C3),editorial_estimate_diagnostic
2026-06-30,2026 Q2,Metallurgical Coal,43.9,12.7,Panamax / Capesize,editorial_estimate_diagnostic
2026-06-30,2026 Q2,Thermal Coal,54.8,8.5,Panamax / Supramax,editorial_estimate_diagnostic
2026-06-30,2026 Q2,Bauxite,10.8,0.8,Capesize / Ultramax,editorial_estimate_diagnostic
2026-06-30,2026 Q2,LNG,21.4,17.6,LNG Carrier (174k),editorial_estimate_diagnostic
